"","overall_pick","draft_team","total_games_played","educational_prestige","pick_bucket","career_bucket","team_conference"
"1","1","SAC","474","PowerSchool","Top5","LongCareer","Western"
"2","2","LAC","917","PowerSchool","Top5","LongCareer","Western"
"3","3","SAS","742","OtherCollege","Top5","LongCareer","Western"
"4","4","MIA","1000","OtherCollege","Top5","LongCareer","Eastern"
"5","5","NOP","672","OtherCollege","Top5","LongCareer","Western"
"6","6","CHI","438","OtherCollege","Lottery","AverageCareer","Eastern"
"7","7","IND","766","OtherCollege","Lottery","LongCareer","Eastern"
"8","8","DAL","281","OtherCollege","Lottery","AverageCareer","Western"
"9","9","WAS","687","OtherCollege","Lottery","LongCareer","Eastern"
"10","10","MIN","639","PowerSchool","Lottery","LongCareer","Western"
"11","11","ORL","800","OtherCollege","Lottery","LongCareer","Eastern"
"12","12","BRK","889","OtherCollege","Lottery","LongCareer","Eastern"
"13","13","BOS","141","OtherCollege","Lottery","ShortCareer","Eastern"
"14","14","GSW","867","OtherCollege","Lottery","LongCareer","Western"
"15","15","DEN","237","OtherCollege","MidtoLateFirst","AverageCareer","Western"
"16","16","OKC","850","OtherCollege","MidtoLateFirst","LongCareer","Western"
"17","17","OKC","1051","OtherCollege","MidtoLateFirst","LongCareer","Western"
"18","18","CHI","747","OtherCollege","MidtoLateFirst","LongCareer","Eastern"
"19","19","PHI","144","PowerSchool","MidtoLateFirst","ShortCareer","Eastern"
"20","20","CHI","55","OtherCollege","MidtoLateFirst","ShortCareer","Eastern"
"21","21","UTA","704","OtherCollege","MidtoLateFirst","LongCareer","Western"
"22","22","POR","87","OtherCollege","MidtoLateFirst","ShortCareer","Western"
"23","23","ATL","29","OtherCollege","MidtoLateFirst","ShortCareer","Eastern"
"24","24","PHO","116","OtherCollege","MidtoLateFirst","ShortCareer","Western"
"25","25","CLE","128","OtherCollege","MidtoLateFirst","ShortCareer","Eastern"
"26","26","LAL","1134","NonCollegiate","MidtoLateFirst","LongCareer","Western"
"27","27","DET","134","OtherCollege","MidtoLateFirst","ShortCareer","Eastern"
"28","28","MIA","765","OtherCollege","MidtoLateFirst","LongCareer","Eastern"
"29","29","NOP","20","OtherCollege","MidtoLateFirst","ShortCareer","Western"
"30","30","MIL","89","OtherCollege","MidtoLateFirst","ShortCareer","Eastern"
"31","31","LAC","143","OtherCollege","SecondRound","ShortCareer","Western"
"32","32","BRK","16","OtherCollege","SecondRound","ShortCareer","Eastern"
"33","33","LAC","4","PowerSchool","SecondRound","ShortCareer","Western"
"34","34","MIN","31","OtherCollege","SecondRound","ShortCareer","Western"
"35","35","DAL","64","OtherCollege","SecondRound","ShortCareer","Western"
"36","36","POR","1380","PowerSchool","SecondRound","LongCareer","Western"
"37","37","ORL","149","OtherCollege","SecondRound","ShortCareer","Eastern"
"38","38","MIN","676","PowerSchool","SecondRound","LongCareer","Western"
"39","39","WAS","45","OtherCollege","SecondRound","ShortCareer","Eastern"
"40","40","BOS","224","NonCollegiate","SecondRound","AverageCareer","Eastern"
"41","41","WAS","42","OtherCollege","SecondRound","ShortCareer","Eastern"
"42","43","CLE","694","OtherCollege","SecondRound","LongCareer","Eastern"
"43","45","MIA","50","OtherCollege","SecondRound","ShortCareer","Eastern"
"44","46","PHO","2","OtherCollege","SecondRound","ShortCareer","Western"
"45","49","ATL","359","OtherCollege","SecondRound","AverageCareer","Eastern"
"46","50","NYK","138","OtherCollege","SecondRound","ShortCareer","Eastern"
"47","51","PHO","36","OtherCollege","SecondRound","ShortCareer","Western"
"48","52","PHO","274","OtherCollege","SecondRound","AverageCareer","Western"
"49","1","BRK","781","OtherCollege","Top5","LongCareer","Eastern"
"50","2","OKC","1335","OtherCollege","Top5","LongCareer","Western"
"51","3","DEN","586","OtherCollege","Top5","LongCareer","Western"
"52","4","ORL","629","OtherCollege","Top5","LongCareer","Eastern"
"53","5","NOP","966","OtherCollege","Top5","LongCareer","Western"
"54","6","MIN","640","PowerSchool","Lottery","LongCareer","Western"
"55","7","SAC","454","OtherCollege","Lottery","LongCareer","Western"
"56","8","LAC","105","OtherCollege","Lottery","ShortCareer","Western"
"57","9","MIA","316","OtherCollege","Lottery","AverageCareer","Eastern"
"58","10","ATL","336","OtherCollege","Lottery","AverageCareer","Eastern"
"59","11","GSW","801","OtherCollege","Lottery","LongCareer","Western"
"60","12","HOU","210","OtherCollege","Lottery","AverageCareer","Western"
"61","13","LAC","689","OtherCollege","Lottery","LongCareer","Western"
"62","14","SAC","115","OtherCollege","Lottery","ShortCareer","Western"
"63","15","MIA","90","OtherCollege","MidtoLateFirst","ShortCareer","Eastern"
"64","16","MIL","678","OtherCollege","MidtoLateFirst","LongCareer","Eastern"
"65","17","NYK","179","OtherCollege","MidtoLateFirst","ShortCareer","Eastern"
"66","18","SAC","541","OtherCollege","MidtoLateFirst","LongCareer","Western"
"67","19","BOS","608","OtherCollege","MidtoLateFirst","LongCareer","Eastern"
"68","20","MIN","201","OtherCollege","MidtoLateFirst","AverageCareer","Western"
"69","21","PHO","475","OtherCollege","MidtoLateFirst","LongCareer","Western"
"70","22","BRK","177","PowerSchool","MidtoLateFirst","ShortCareer","Eastern"
"71","23","SAC","318","OtherCollege","MidtoLateFirst","AverageCareer","Western"
"72","24","SAS","217","OtherCollege","MidtoLateFirst","AverageCareer","Western"
"73","25","POR","256","PowerSchool","MidtoLateFirst","AverageCareer","Western"
"74","26","DET","142","OtherCollege","MidtoLateFirst","ShortCareer","Eastern"
"75","27","LAL","1044","OtherCollege","MidtoLateFirst","LongCareer","Western"
"76","28","GSW","52","OtherCollege","MidtoLateFirst","ShortCareer","Western"
