"","overall_pick","total_games_played","total_minutes_played","total_points","total_rebounds","total_assists","mpg","ppg","rpg","apg","win_shares","ws_per_48","bpm","vorp"
"1",1,474,11593,4494,3170,691,24.5,9.5,6.7,1.5,21.8,0.09,-0.5,4.4
"2",2,917,18133,6439,2550,1185,19.8,7,2.8,1.3,34.8,0.092,-0.9,4.9
"3",3,742,24502,10544,3204,1897,33,14.2,4.3,2.6,55.7,0.109,0.2,13.5
"4",4,1000,34985,18336,4387,2097,35,18.3,4.4,2.1,88.7,0.122,0.8,24.9
"5",5,672,15370,5680,3381,639,22.9,8.5,5,1,22.5,0.07,-2.9,-3.7
"6",6,438,7406,2819,1460,387,16.9,6.4,3.3,0.9,10.9,0.071,-3.4,-2.7
"7",7,766,17429,6925,2342,1769,22.8,9,3.1,2.3,24.6,0.068,-0.8,5.3
"8",8,281,5382,2083,1366,175,19.2,7.4,4.9,0.6,1.9,0.017,-5,-4
"9",9,687,10419,3617,2243,378,15.2,5.3,3.3,0.6,14.7,0.068,-3.8,-4.7
"10",10,639,19399,7083,1807,4180,30.4,11.1,2.8,6.5,26.7,0.066,0.2,10.5
"11",11,800,24922,11529,4064,2087,31.2,14.4,5.1,2.6,55.3,0.106,1.9,24.7
"12",12,889,31026,11962,3659,5972,34.9,13.5,4.1,6.7,71.8,0.111,3,39.2
"13",13,141,1328,698,212,142,9.4,5,1.5,1,1.4,0.049,-3.6,-0.5
"14",14,867,30626,15373,2855,7095,35.3,17.7,3.3,8.2,85,0.133,3.1,39.6
"15",15,237,4240,1870,505,325,17.9,7.9,2.1,1.4,5.6,0.063,-2.5,-0.5
"16",16,850,19480,8901,1609,2837,22.9,10.5,1.9,3.3,49.6,0.122,1.7,18.1
"17",17,1051,29293,15347,8834,1704,27.9,14.6,8.4,1.6,89.5,0.147,0.6,19.4
"18",18,747,17790,7320,1321,2479,23.8,9.8,1.8,3.3,45,0.121,-0.2,8.1
"19",19,144,1167,508,170,61,8.1,3.5,1.2,0.4,-0.1,-0.005,-4.9,-0.9
"21",21,704,18409,7585,2376,1409,26.1,10.8,3.4,2,24.2,0.063,-1.6,1.9
"22",22,87,849,451,123,73,9.8,5.2,1.4,0.8,2.1,0.121,0.6,0.6
"23",23,29,194,55,32,12,6.7,1.9,1.1,0.4,-0.5,-0.122,-8.8,-0.3
"24",24,116,1499,418,428,34,12.9,3.6,3.7,0.3,1,0.033,-3.7,-0.7
"25",25,128,1879,609,161,342,14.7,4.8,1.3,2.7,0.5,0.013,-3,-0.5
"27",27,134,1795,627,327,106,13.4,4.7,2.4,0.8,3.7,0.098,-0.4,0.7
"28",28,765,21148,8425,1672,4536,27.6,11,2.2,5.9,32.9,0.075,-0.3,9.2
"30",30,89,595,171,95,30,6.7,1.9,1.1,0.3,0,-0.004,-6.2,-0.6
"31",31,143,2685,956,290,109,18.8,6.7,2,0.8,2.1,0.038,-3.2,-0.8
"33",33,4,26,7,2,4,6.5,1.8,0.5,1,0,0.022,-4,0
"34",34,31,149,44,34,2,4.8,1.4,1.1,0.1,0.1,0.029,-6.9,-0.2
"35",35,64,930,323,108,57,14.5,5,1.7,0.9,0.7,0.037,-2,0
"36",36,1380,42561,19591,6306,3094,30.8,14.2,4.6,2.2,89.7,0.101,0.5,26.6
"38",38,676,16649,6477,1670,1292,24.6,9.6,2.5,1.9,17.7,0.051,-3,-4.2
"39",39,45,374,202,108,19,8.3,4.5,2.4,0.4,0.4,0.05,-4.9,-0.3
"41",41,42,412,81,120,20,9.8,1.9,2.9,0.5,0.4,0.052,-5.3,-0.3
"43",43,694,11962,4125,2148,549,17.2,5.9,3.1,0.8,19,0.076,-2.7,-2
"45",45,50,609,213,55,89,12.2,4.3,1.1,1.8,-0.1,-0.012,-5.1,-0.5
"49",49,359,7202,1967,819,1410,20.1,5.5,2.3,3.9,10.7,0.071,-0.7,2.4
"50",50,138,1530,474,224,76,11.1,3.4,1.6,0.6,0.9,0.027,-3.7,-0.6
"51",51,36,153,72,20,11,4.3,2,0.6,0.3,-0.3,-0.106,-10.5,-0.3
"52",52,274,3350,767,248,751,12.2,2.8,0.9,2.7,1.6,0.023,-2.9,-0.8
"55",1,781,25903,12884,7232,1985,33.2,16.5,9.3,2.5,64.3,0.119,1.4,22.3
"56",2,1335,47117,21813,5269,8966,35.3,16.3,3.9,6.7,145.5,0.148,3.3,62.5
"57",3,586,15628,8553,1087,2079,26.7,14.6,1.9,3.5,25.2,0.077,-0.8,4.5
"58",4,629,17983,8094,1774,1296,28.6,12.9,2.8,2.1,33.4,0.089,0.2,9.9
"59",5,966,29481,12914,4002,2945,30.5,13.4,4.1,3,47.8,0.078,0.1,15.8
"60",6,640,12298,3354,3436,213,19.2,5.2,5.4,0.3,20.9,0.081,-4.3,-7
"61",7,454,13472,5833,2833,1498,29.7,12.8,6.2,3.3,16.9,0.06,0,6.7
"62",8,105,1336,574,162,98,12.7,5.5,1.5,0.9,0.1,0.004,-5.7,-1.2
"63",9,316,6666,3243,932,393,21.1,10.3,2.9,1.2,9.1,0.065,-2.5,-0.9
"64",10,336,6098,2546,606,1179,18.1,7.6,1.8,3.5,5.2,0.041,-1.5,0.8
"65",11,801,22388,7532,6854,647,28,9.4,8.6,0.8,56.2,0.12,-1.9,0.8
"66",12,210,2937,1084,751,81,14,5.2,3.6,0.4,2,0.033,-5.9,-2.8
"67",13,689,16993,6984,4881,652,24.7,10.1,7.1,0.9,35.8,0.101,-1.5,2.2
"68",14,115,2964,1273,233,326,25.8,11.1,2,2.8,2.4,0.039,-2.6,-0.5
"69",15,90,594,306,77,61,6.6,3.4,0.9,0.7,0.2,0.018,-3.9,-0.3
"70",16,678,16422,7175,3680,891,24.2,10.6,5.4,1.3,33.3,0.097,-0.6,5.9
"71",17,179,1902,721,452,99,10.6,4,2.5,0.6,1.7,0.043,-4.1,-1
"72",18,541,9409,2648,2273,243,17.4,4.9,4.2,0.4,15.8,0.081,-2.3,-0.7
"73",19,608,16843,6758,1569,2227,27.7,11.1,2.6,3.7,33.4,0.095,0.8,11.6
"74",20,201,3347,1553,512,298,16.7,7.7,2.5,1.5,1.8,0.025,-1.9,0.1
"75",21,475,9805,3472,3584,287,20.6,7.3,7.5,0.6,20,0.098,-2.8,-2.1
"76",22,177,2019,736,180,325,11.4,4.2,1,1.8,1.3,0.032,-3.5,-0.8
"77",23,318,7372,2199,1726,442,23.2,6.9,5.4,1.4,10.8,0.07,-2,0.1
"78",24,217,1950,587,536,93,9,2.7,2.5,0.4,1,0.024,-5,-1.5
"79",25,256,3200,1465,846,85,12.5,5.7,3.3,0.3,4.8,0.072,-3.8,-1.5
"80",26,142,1045,289,110,117,7.4,2,0.8,0.8,0.7,0.031,-3.2,-0.3
"81",27,1044,25776,10805,6116,1199,24.7,10.3,5.9,1.1,62.8,0.117,-0.5,9.5
"82",28,52,192,53,67,2,3.7,1,1.3,0,0.1,0.031,-8,-0.3
"84",30,465,8042,2481,1690,261,17.3,5.3,3.6,0.6,9,0.054,-3.7,-3.4
"85",31,276,4513,1699,351,780,16.4,6.2,1.3,2.8,4.2,0.044,-3,-1.1
"86",32,118,1182,389,123,114,10,3.3,1,1,-0.5,-0.02,-5.9,-1.2
"87",33,48,209,100,65,11,4.4,2.1,1.4,0.2,-0.1,-0.013,-6.7,-0.2
"88",34,94,1125,340,90,152,12,3.6,1,1.6,0.4,0.017,-4,-0.6
"89",35,656,7974,2538,1691,351,12.2,3.9,2.6,0.5,5.6,0.033,-5.5,-7
"90",36,103,1609,591,353,99,15.6,5.7,3.4,1,0.8,0.023,-3.4,-0.6
"91",37,151,3108,1502,315,320,20.6,9.9,2.1,2.1,1.1,0.017,-3.9,-1.5
"92",38,720,8444,2385,1266,560,11.7,3.3,1.8,0.8,16.5,0.094,-0.1,4
"93",39,174,918,331,180,26,5.3,1.9,1,0.1,2.9,0.153,-1.9,0
"94",40,852,20319,6628,1820,3313,23.8,7.8,2.1,3.9,27.4,0.065,-1.6,1.9
"95",41,33,299,73,60,44,9.1,2.2,1.8,1.3,-0.1,-0.02,-4,-0.2
"96",42,267,4568,1942,925,244,17.1,7.3,3.5,0.9,4,0.042,-2.6,-0.7
"97",43,683,12291,4238,2964,266,18,6.2,4.3,0.4,15.6,0.061,-4.5,-7.8
"98",44,238,2282,739,176,465,9.6,3.1,0.7,2,3.8,0.079,-1.8,0.1
"99",45,903,26084,9041,6755,1017,28.9,10,7.5,1.1,59.6,0.11,-1.3,4.4
"100",46,260,2918,1247,693,161,11.2,4.8,2.7,0.6,7.4,0.122,0.1,1.5
"101",47,456,8548,3088,2213,291,18.7,6.8,4.9,0.6,18.5,0.104,-2.1,-0.3
"102",48,609,14712,8693,3258,723,24.2,14.3,5.3,1.2,40.4,0.132,0.7,10.1
"105",51,457,7295,2504,735,881,16,5.5,1.6,1.9,6.7,0.044,-2,0
"108",54,220,3334,1375,402,226,15.2,6.3,1.8,1,0.4,0.006,-4.7,-2.3
"109",1,707,25685,11450,5300,2298,36.3,16.2,7.5,3.3,69.7,0.13,1.4,22
"110",2,858,25868,10789,2641,5196,30.1,12.6,3.1,6.1,62.5,0.116,1.4,21.9
"111",3,600,17619,7026,4016,1704,29.4,11.7,6.7,2.8,28.6,0.078,-0.2,7.8
"112",4,1196,36791,11729,12359,1240,30.8,9.8,10.3,1,117,0.153,1.7,33.9
"113",5,942,28855,13430,3060,2922,30.6,14.3,3.2,3.1,83.7,0.139,1.4,24.6
"114",6,296,5833,2356,1234,400,19.7,8,4.2,1.4,3,0.024,-3.6,-2.4
"115",7,567,12006,4090,2794,836,21.2,7.2,4.9,1.5,17.5,0.07,-2.6,-1.9
"116",8,251,5018,1685,467,428,20,6.7,1.9,1.7,0.1,0.001,-3.7,-2.2
"117",9,1001,21658,7990,3216,1561,21.6,8,3.2,1.6,43.8,0.097,-0.2,9.8
"118",10,413,10004,4536,2564,440,24.2,11,6.2,1.1,22.8,0.109,-0.6,3.4
"119",11,724,21545,9994,2174,4407,29.8,13.8,3,6.1,65.9,0.147,3.6,30.3
"120",12,757,15850,5497,1417,2997,20.9,7.3,1.9,4,35.9,0.109,1.3,13.3
"121",13,1094,29606,8706,8605,978,27.1,8,7.9,0.9,86.9,0.141,0.5,18.4
"122",14,72,309,135,74,21,4.3,1.9,1,0.3,0.2,0.036,-6.9,-0.4
"123",15,352,6729,1958,1584,278,19.1,5.6,4.5,0.8,0.3,0.002,-5.7,-6.4
"124",16,700,13760,7232,3741,461,19.7,10.3,5.3,0.7,32.1,0.112,-1.1,3.2
"125",17,286,5755,2542,1384,257,20.1,8.9,4.8,0.9,8.8,0.073,-2.2,-0.3
"126",18,126,1031,417,141,48,8.2,3.3,1.1,0.4,-0.1,-0.004,-5.9,-1
"127",19,183,3131,1218,271,394,17.1,6.7,1.5,2.2,1.5,0.024,-3.6,-1.2
"129",21,508,11882,5118,1261,2467,23.4,10.1,2.5,4.9,25.6,0.103,2,12.1
"131",23,300,5869,2555,1549,189,19.6,8.5,5.2,0.6,8.1,0.066,-3.4,-2
"132",24,930,23723,8966,3517,2649,25.5,9.6,3.8,2.8,44.7,0.09,0,11.7
"134",26,127,883,332,160,56,7,2.6,1.3,0.4,1,0.054,-3.3,-0.3
"135",27,584,8394,2494,1935,488,14.4,4.3,3.3,0.8,10.6,0.06,-1.8,0.3
"136",28,95,1143,310,120,108,12,3.3,1.3,1.1,0.4,0.016,-4.4,-0.7
"138",30,38,313,131,33,27,8.2,3.4,0.9,0.7,-0.2,-0.035,-5.3,-0.3
"139",31,655,11533,3148,1173,1420,17.6,4.8,1.8,2.2,11,0.046,-1.9,0.2
"141",33,249,3501,1182,809,191,14.1,4.7,3.2,0.8,1.8,0.025,-4.2,-1.9
"143",35,122,3049,1096,238,522,25,9,2,4.3,3.7,0.058,-1.9,0.1
"144",36,112,1313,416,129,243,11.7,3.7,1.2,2.2,1.6,0.058,-1.8,0.1
"145",37,549,9501,3449,742,1699,17.3,6.3,1.4,3.1,14,0.071,-0.5,3.6
"147",39,78,856,331,80,55,11,4.2,1,0.7,0.3,0.018,-4.7,-0.6
"148",40,499,7275,2253,654,1038,14.6,4.5,1.3,2.1,2.5,0.016,-3.9,-3.5
"149",41,84,671,352,85,45,8,4.2,1,0.5,-1.3,-0.095,-7,-0.8
"151",43,13,155,60,15,14,11.9,4.6,1.2,1.1,-0.5,-0.142,-7.7,-0.2
"153",45,467,13426,5153,1469,1246,28.7,11,3.1,2.7,27.2,0.097,0.2,7.5
"154",46,102,2226,1080,351,111,21.8,10.6,3.4,1.1,4.5,0.097,-0.2,1
"156",48,432,8350,3285,2030,538,19.3,7.6,4.7,1.2,9.2,0.053,-2.5,-1
"157",49,168,1946,761,153,284,11.6,4.5,0.9,1.7,1,0.024,-3.6,-0.8
"163",1,1207,41918,28596,13099,3026,34.7,23.7,10.9,2.5,181.7,0.208,5.1,75.5
"164",2,838,25975,14311,7137,946,31,17.1,8.5,1.1,89.7,0.166,2.2,27.4
"165",3,868,25760,11121,5806,2224,29.7,12.8,6.7,2.6,64.9,0.121,1,19.5
"166",4,885,29067,12690,4152,2851,32.8,14.3,4.7,3.2,35.8,0.059,-0.9,8.2
"167",5,624,17616,7410,4032,981,28.2,11.9,6.5,1.6,32.8,0.089,-1,4.6
"168",6,763,23556,9895,5589,2140,30.9,13,7.3,2.8,40.2,0.082,0.6,15.3
"169",7,708,18818,8385,2794,1637,26.6,11.8,3.9,2.3,33.9,0.087,0.5,11.8
"170",8,483,12214,5917,1649,713,25.3,12.3,3.4,1.5,17.5,0.069,-0.9,3.4
"171",9,915,27736,10483,6846,1346,30.3,11.5,7.5,1.5,58.4,0.101,-0.3,11.8
"172",10,617,10334,3107,2556,427,16.7,5,4.1,0.7,24.9,0.116,-1.3,1.7
"173",11,1107,27069,7715,5269,2343,24.5,7,4.8,2.1,66.3,0.118,1.9,26.4
"174",12,200,3748,1801,432,245,18.7,9,2.2,1.2,4.2,0.053,-3,-0.9
"175",13,586,16417,5946,1983,1178,28,10.1,3.4,2,29.5,0.086,-0.8,4.9
"176",14,493,11720,4955,1585,816,23.8,10.1,3.2,1.7,17.1,0.07,-1.2,2.2
"177",15,827,20464,8017,2136,1956,24.7,9.7,2.6,2.4,30.7,0.072,-0.7,6.6
"178",16,151,1093,356,93,257,7.2,2.4,0.6,1.7,0.6,0.026,-1.5,0.1
"179",17,827,26079,9301,3382,2992,31.5,11.2,4.1,3.6,55.7,0.102,1.1,20.7
"180",18,659,12103,5943,1649,508,18.4,9,2.5,0.8,24.1,0.096,-0.1,5.8
"181",19,319,6679,3490,1210,404,20.9,10.9,3.8,1.3,9.4,0.067,-2.5,-0.9
"182",20,685,15143,5583,1045,1172,22.1,8.2,1.5,1.7,27.7,0.088,-0.9,4.2
"183",21,821,13880,4715,1513,1784,16.9,5.7,1.8,2.2,37.2,0.129,1.8,13.4
"184",22,493,11338,3625,2893,1061,23,7.4,5.9,2.2,21.1,0.089,0.6,7.4
"185",23,496,10337,2546,642,1767,20.8,5.1,1.3,3.6,7.9,0.036,-2.9,-2.3
"186",24,913,35270,16712,3724,3664,38.6,18.3,4.1,4,56.3,0.077,0.4,21
"187",25,157,2641,923,555,109,16.8,5.9,3.5,0.7,0,0.001,-4.6,-1.7
"188",26,59,475,204,64,17,8.1,3.5,1.1,0.3,-0.3,-0.032,-8.2,-0.7
"189",27,214,2674,835,648,114,12.5,3.9,3,0.5,3.9,0.069,-3.9,-1.3
"190",28,98,1146,479,363,22,11.7,4.9,3.7,0.2,2.6,0.109,-3,-0.3
"191",29,1089,33823,9870,8409,1661,31.1,9.1,7.7,1.5,89.8,0.128,0,17.4
"192",30,749,13560,4676,2877,631,18.1,6.2,3.8,0.8,16.2,0.057,-2.9,-3.1
"193",31,66,384,99,120,5,5.8,1.5,1.8,0.1,0.4,0.051,-5.1,-0.3
"194",32,418,7007,2481,684,1236,16.8,5.9,1.6,3,12,0.082,-0.8,2.2
"195",33,39,288,92,37,29,7.4,2.4,0.9,0.7,0.2,0.037,-5.6,-0.3
"196",34,224,3956,1140,291,627,17.7,5.1,1.3,2.8,3.2,0.039,-2.3,-0.3
"197",35,152,1886,538,155,303,12.4,3.5,1,2,1.6,0.041,-2.7,-0.3
"198",36,88,781,204,59,178,8.9,2.3,0.7,2,-0.5,-0.032,-6.1,-0.8
"200",38,21,159,48,10,22,7.6,2.3,0.5,1,-0.3,-0.095,-6.9,-0.2
"201",39,148,1189,423,75,182,8,2.9,0.5,1.2,1.6,0.066,-2.4,-0.1
"203",41,535,12579,3726,3981,696,23.5,7,7.4,1.3,22,0.084,-2.7,-2.1
"204",42,552,12221,5059,3158,388,22.1,9.2,5.7,0.7,28.4,0.112,-1.8,0.6
"207",45,103,2058,693,311,116,20,6.7,3,1.1,1,0.023,-2.8,-0.4
"208",46,47,273,101,81,9,5.8,2.1,1.7,0.2,0.1,0.026,-6.3,-0.3
"210",48,68,374,131,55,22,5.5,1.9,0.8,0.3,0,0,-4.7,-0.3
"212",50,50,512,177,110,25,10.2,3.5,2.2,0.5,0.6,0.058,-3.1,-0.1
"214",52,2,12,3,3,2,6,1.5,1.5,1,0,-0.126,-8.5,0
"217",1,831,30847,17182,8124,3526,37.1,20.7,9.8,4.2,84.7,0.132,3.4,42.1
"218",2,832,19531,6752,5268,573,23.5,8.1,6.3,0.7,40.7,0.1,-0.2,8.9
"219",3,704,23711,10684,3146,3525,33.7,15.2,4.5,5,61.9,0.125,2.5,26.9
"220",4,611,22762,11644,3271,2414,37.3,19.1,5.4,4,43.7,0.092,0.3,13.4
"221",5,563,17851,9405,2166,1535,31.7,16.7,3.8,2.7,22.8,0.061,-1,4.5
"222",6,825,22007,7826,2610,1398,26.7,9.5,3.2,1.7,23.1,0.05,-2.5,-2.9
"223",7,269,4170,1032,283,880,15.5,3.8,1.1,3.3,-1.2,-0.014,-5.4,-3.5
"224",8,791,25737,11839,5867,1509,32.5,15,7.4,1.9,47,0.088,-1.2,5.3
"225",9,866,21873,9468,3881,1722,25.3,10.9,4.5,2,38.8,0.085,-0.3,9.7
"226",10,937,23253,7956,2021,2506,24.8,8.5,2.2,2.7,32.9,0.068,-0.4,9.4
"227",11,839,28311,14551,2434,1990,33.7,17.3,2.9,2.4,55.3,0.094,0.1,15
"228",12,774,17683,5109,3902,1121,22.8,6.6,5,1.4,32.3,0.088,-0.4,7.3
"229",13,402,7305,3235,588,1034,18.2,8,1.5,2.6,7.3,0.048,-2.6,-1.1
"231",15,85,838,203,153,60,9.9,2.4,1.8,0.7,0.2,0.013,-4.8,-0.6
"232",16,335,4602,1547,403,569,13.7,4.6,1.2,1.7,6.3,0.066,-2,0
"233",17,207,2530,938,219,201,12.2,4.5,1.1,1,1.3,0.025,-3.8,-1.2
"234",18,15,92,19,10,0,6.1,1.3,0.7,0,-0.1,-0.064,-12.3,-0.2
"235",19,193,2512,980,517,61,13,5.1,2.7,0.3,0.3,0.005,-5.9,-2.5
"236",20,383,7592,2647,1332,527,19.8,6.9,3.5,1.4,16.4,0.104,0.7,5.2
"237",21,381,6935,2882,660,715,18.2,7.6,1.7,1.9,5.8,0.04,-2,0
"238",22,568,17282,6357,2808,1063,30.4,11.2,4.9,1.9,37.7,0.105,-0.5,6.8
"239",23,845,16989,3473,5148,387,20.1,4.1,6.1,0.5,37.8,0.107,-1.4,2.6
"240",24,993,29812,15635,3221,5939,30,15.7,3.2,6,87.5,0.141,1.8,28.8
"241",25,644,9925,2287,2690,460,15.4,3.6,4.2,0.7,18.2,0.088,-2.5,-1.1
"243",27,22,69,32,24,1,3.1,1.5,1.1,0,0.1,0.036,-8.7,-0.1
"244",28,800,15701,5784,1864,1130,19.6,7.2,2.3,1.4,28.7,0.088,-0.9,4.5
"248",32,11,114,35,20,10,10.4,3.2,1.8,0.9,-0.4,-0.153,-8.4,-0.2
"249",33,186,1844,574,479,60,9.9,3.1,2.6,0.3,2.5,0.066,-3.8,-0.9
"250",34,40,293,76,36,18,7.3,1.9,0.9,0.5,-0.1,-0.02,-2.8,-0.1
