"","total_games_played","overall_pick","pick_bucket","educational_prestige","team_conference"
"1",474,1,"Top5","PowerSchool","Western"
"2",917,2,"Top5","PowerSchool","Western"
"3",742,3,"Top5","OtherCollege","Western"
"4",1000,4,"Top5","OtherCollege","Eastern"
"5",672,5,"Top5","OtherCollege","Western"
"6",438,6,"Lottery","OtherCollege","Eastern"
"7",766,7,"Lottery","OtherCollege","Eastern"
"8",281,8,"Lottery","OtherCollege","Western"
"9",687,9,"Lottery","OtherCollege","Eastern"
"10",639,10,"Lottery","PowerSchool","Western"
"11",800,11,"Lottery","OtherCollege","Eastern"
"12",889,12,"Lottery","OtherCollege","Eastern"
"13",141,13,"Lottery","OtherCollege","Eastern"
"14",867,14,"Lottery","OtherCollege","Western"
"15",237,15,"MidtoLateFirst","OtherCollege","Western"
"16",850,16,"MidtoLateFirst","OtherCollege","Western"
"17",1051,17,"MidtoLateFirst","OtherCollege","Western"
"18",747,18,"MidtoLateFirst","OtherCollege","Eastern"
"19",144,19,"MidtoLateFirst","PowerSchool","Eastern"
"20",55,20,"MidtoLateFirst","OtherCollege","Eastern"
"21",704,21,"MidtoLateFirst","OtherCollege","Western"
"22",87,22,"MidtoLateFirst","OtherCollege","Western"
"23",29,23,"MidtoLateFirst","OtherCollege","Eastern"
"24",116,24,"MidtoLateFirst","OtherCollege","Western"
"25",128,25,"MidtoLateFirst","OtherCollege","Eastern"
"26",1134,26,"MidtoLateFirst","NonCollegiate","Western"
"27",134,27,"MidtoLateFirst","OtherCollege","Eastern"
"28",765,28,"MidtoLateFirst","OtherCollege","Eastern"
"29",20,29,"MidtoLateFirst","OtherCollege","Western"
"30",89,30,"MidtoLateFirst","OtherCollege","Eastern"
"31",143,31,"SecondRound","OtherCollege","Western"
"32",16,32,"SecondRound","OtherCollege","Eastern"
"33",4,33,"SecondRound","PowerSchool","Western"
"34",31,34,"SecondRound","OtherCollege","Western"
"35",64,35,"SecondRound","OtherCollege","Western"
"36",1380,36,"SecondRound","PowerSchool","Western"
"37",149,37,"SecondRound","OtherCollege","Eastern"
"38",676,38,"SecondRound","PowerSchool","Western"
"39",45,39,"SecondRound","OtherCollege","Eastern"
"40",224,40,"SecondRound","NonCollegiate","Eastern"
"41",42,41,"SecondRound","OtherCollege","Eastern"
"43",694,43,"SecondRound","OtherCollege","Eastern"
"45",50,45,"SecondRound","OtherCollege","Eastern"
"46",2,46,"SecondRound","OtherCollege","Western"
"49",359,49,"SecondRound","OtherCollege","Eastern"
"50",138,50,"SecondRound","OtherCollege","Eastern"
"51",36,51,"SecondRound","OtherCollege","Western"
"52",274,52,"SecondRound","OtherCollege","Western"
"55",781,1,"Top5","OtherCollege","Eastern"
"56",1335,2,"Top5","OtherCollege","Western"
"57",586,3,"Top5","OtherCollege","Western"
"58",629,4,"Top5","OtherCollege","Eastern"
"59",966,5,"Top5","OtherCollege","Western"
"60",640,6,"Lottery","PowerSchool","Western"
"61",454,7,"Lottery","OtherCollege","Western"
"62",105,8,"Lottery","OtherCollege","Western"
"63",316,9,"Lottery","OtherCollege","Eastern"
"64",336,10,"Lottery","OtherCollege","Eastern"
"65",801,11,"Lottery","OtherCollege","Western"
"66",210,12,"Lottery","OtherCollege","Western"
"67",689,13,"Lottery","OtherCollege","Western"
"68",115,14,"Lottery","OtherCollege","Western"
"69",90,15,"MidtoLateFirst","OtherCollege","Eastern"
"70",678,16,"MidtoLateFirst","OtherCollege","Eastern"
"71",179,17,"MidtoLateFirst","OtherCollege","Eastern"
"72",541,18,"MidtoLateFirst","OtherCollege","Western"
"73",608,19,"MidtoLateFirst","OtherCollege","Eastern"
"74",201,20,"MidtoLateFirst","OtherCollege","Western"
"75",475,21,"MidtoLateFirst","OtherCollege","Western"
"76",177,22,"MidtoLateFirst","PowerSchool","Eastern"
"77",318,23,"MidtoLateFirst","OtherCollege","Western"
"78",217,24,"MidtoLateFirst","OtherCollege","Western"
"79",256,25,"MidtoLateFirst","PowerSchool","Western"
"80",142,26,"MidtoLateFirst","OtherCollege","Eastern"
"81",1044,27,"MidtoLateFirst","OtherCollege","Western"
"82",52,28,"MidtoLateFirst","OtherCollege","Western"
"83",846,29,"MidtoLateFirst","NonCollegiate","Eastern"
"84",465,30,"MidtoLateFirst","OtherCollege","Eastern"
"85",276,31,"SecondRound","OtherCollege","Western"
"86",118,32,"SecondRound","OtherCollege","Eastern"
"87",48,33,"SecondRound","OtherCollege","Western"
"88",94,34,"SecondRound","PowerSchool","Western"
"89",656,35,"SecondRound","OtherCollege","Eastern"
"90",103,36,"SecondRound","PowerSchool","Eastern"
"91",151,37,"SecondRound","OtherCollege","Eastern"
"92",720,38,"SecondRound","OtherCollege","Western"
"93",174,39,"SecondRound","OtherCollege","Western"
"94",852,40,"SecondRound","OtherCollege","Western"
"95",33,41,"SecondRound","OtherCollege","Eastern"
"96",267,42,"SecondRound","OtherCollege","Western"
"97",683,43,"SecondRound","OtherCollege","Western"
"98",238,44,"SecondRound","OtherCollege","Eastern"
"99",903,45,"SecondRound","OtherCollege","Eastern"
"100",260,46,"SecondRound","OtherCollege","Eastern"
"101",456,47,"SecondRound","OtherCollege","Eastern"
"102",609,48,"SecondRound","OtherCollege","Western"
"104",21,50,"SecondRound","OtherCollege","Western"
"105",457,51,"SecondRound","OtherCollege","Western"
"106",7,52,"SecondRound","NonCollegiate","Eastern"
"108",220,54,"SecondRound","OtherCollege","Western"
"109",707,1,"Top5","OtherCollege","Western"
"110",858,2,"Top5","OtherCollege","Eastern"
"111",600,3,"Top5","OtherCollege","Western"
"112",1196,4,"Top5","OtherCollege","Western"
"113",942,5,"Top5","OtherCollege","Eastern"
"114",296,6,"Lottery","OtherCollege","Western"
"115",567,7,"Lottery","OtherCollege","Western"
"116",251,8,"Lottery","OtherCollege","Western"
"117",1001,9,"Lottery","OtherCollege","Eastern"
"118",413,10,"Lottery","OtherCollege","Eastern"
"119",724,11,"Lottery","OtherCollege","Eastern"
"120",757,12,"Lottery","OtherCollege","Eastern"
"121",1094,13,"Lottery","OtherCollege","Eastern"
"122",72,14,"Lottery","OtherCollege","Western"
"123",352,15,"MidtoLateFirst","OtherCollege","Eastern"
"124",700,16,"MidtoLateFirst","OtherCollege","Western"
"125",286,17,"MidtoLateFirst","OtherCollege","Western"
"126",126,18,"MidtoLateFirst","OtherCollege","Eastern"
"127",183,19,"MidtoLateFirst","PowerSchool","Eastern"
"128",42,20,"MidtoLateFirst","OtherCollege","Western"
"129",508,21,"MidtoLateFirst","OtherCollege","Western"
"130",91,22,"MidtoLateFirst","OtherCollege","Western"
"131",300,23,"MidtoLateFirst","OtherCollege","Eastern"
"132",930,24,"MidtoLateFirst","OtherCollege","Eastern"
"134",127,26,"MidtoLateFirst","PowerSchool","Eastern"
"135",584,27,"MidtoLateFirst","OtherCollege","Western"
"136",95,28,"MidtoLateFirst","OtherCollege","Western"
"138",38,30,"MidtoLateFirst","OtherCollege","Eastern"
"139",655,31,"SecondRound","OtherCollege","Western"
"140",2,32,"SecondRound","OtherCollege","Western"
"141",249,33,"SecondRound","OtherCollege","Western"
"142",4,34,"SecondRound","OtherCollege","Western"
"143",122,35,"SecondRound","OtherCollege","Western"
"144",112,36,"SecondRound","OtherCollege","Eastern"
"145",549,37,"SecondRound","OtherCollege","Western"
"147",78,39,"SecondRound","OtherCollege","Eastern"
"148",499,40,"SecondRound","OtherCollege","Eastern"
"149",84,41,"SecondRound","OtherCollege","Eastern"
"151",13,43,"SecondRound","OtherCollege","Western"
"153",467,45,"SecondRound","OtherCollege","Eastern"
"154",102,46,"SecondRound","OtherCollege","Western"
"156",432,48,"SecondRound","OtherCollege","Western"
"157",168,49,"SecondRound","OtherCollege","Western"
"159",247,51,"SecondRound","NonCollegiate","Western"
"163",1207,1,"Top5","OtherCollege","Eastern"
"164",838,2,"Top5","OtherCollege","Western"
"165",868,3,"Top5","PowerSchool","Western"
"166",885,4,"Top5","OtherCollege","Western"
"167",624,5,"Top5","OtherCollege","Western"
