"","total_minutes_played","overall_pick","pick_bucket","educational_prestige","team_conference"
"1",11593,1,"Top5","PowerSchool","Western"
"2",18133,2,"Top5","PowerSchool","Western"
"3",24502,3,"Top5","OtherCollege","Western"
"4",34985,4,"Top5","OtherCollege","Eastern"
"5",15370,5,"Top5","OtherCollege","Western"
"6",7406,6,"Lottery","OtherCollege","Eastern"
"7",17429,7,"Lottery","OtherCollege","Eastern"
"8",5382,8,"Lottery","OtherCollege","Western"
"9",10419,9,"Lottery","OtherCollege","Eastern"
"10",19399,10,"Lottery","PowerSchool","Western"
"11",24922,11,"Lottery","OtherCollege","Eastern"
"12",31026,12,"Lottery","OtherCollege","Eastern"
"13",1328,13,"Lottery","OtherCollege","Eastern"
"14",30626,14,"Lottery","OtherCollege","Western"
"15",4240,15,"MidtoLateFirst","OtherCollege","Western"
"16",19480,16,"MidtoLateFirst","OtherCollege","Western"
"17",29293,17,"MidtoLateFirst","OtherCollege","Western"
"18",17790,18,"MidtoLateFirst","OtherCollege","Eastern"
"19",1167,19,"MidtoLateFirst","PowerSchool","Eastern"
"20",462,20,"MidtoLateFirst","OtherCollege","Eastern"
"21",18409,21,"MidtoLateFirst","OtherCollege","Western"
"22",849,22,"MidtoLateFirst","OtherCollege","Western"
"23",194,23,"MidtoLateFirst","OtherCollege","Eastern"
"24",1499,24,"MidtoLateFirst","OtherCollege","Western"
"25",1879,25,"MidtoLateFirst","OtherCollege","Eastern"
"26",33838,26,"MidtoLateFirst","NonCollegiate","Western"
"27",1795,27,"MidtoLateFirst","OtherCollege","Eastern"
"28",21148,28,"MidtoLateFirst","OtherCollege","Eastern"
"29",109,29,"MidtoLateFirst","OtherCollege","Western"
"30",595,30,"MidtoLateFirst","OtherCollege","Eastern"
"31",2685,31,"SecondRound","OtherCollege","Western"
"32",128,32,"SecondRound","OtherCollege","Eastern"
"33",26,33,"SecondRound","PowerSchool","Western"
"34",149,34,"SecondRound","OtherCollege","Western"
"35",930,35,"SecondRound","OtherCollege","Western"
"36",42561,36,"SecondRound","PowerSchool","Western"
"37",2143,37,"SecondRound","OtherCollege","Eastern"
"38",16649,38,"SecondRound","PowerSchool","Western"
"39",374,39,"SecondRound","OtherCollege","Eastern"
"40",7308,40,"SecondRound","NonCollegiate","Eastern"
"41",412,41,"SecondRound","OtherCollege","Eastern"
"43",11962,43,"SecondRound","OtherCollege","Eastern"
"45",609,45,"SecondRound","OtherCollege","Eastern"
"46",13,46,"SecondRound","OtherCollege","Western"
"49",7202,49,"SecondRound","OtherCollege","Eastern"
"50",1530,50,"SecondRound","OtherCollege","Eastern"
"51",153,51,"SecondRound","OtherCollege","Western"
"52",3350,52,"SecondRound","OtherCollege","Western"
"55",25903,1,"Top5","OtherCollege","Eastern"
"56",47117,2,"Top5","OtherCollege","Western"
"57",15628,3,"Top5","OtherCollege","Western"
"58",17983,4,"Top5","OtherCollege","Eastern"
"59",29481,5,"Top5","OtherCollege","Western"
"60",12298,6,"Lottery","PowerSchool","Western"
"61",13472,7,"Lottery","OtherCollege","Western"
"62",1336,8,"Lottery","OtherCollege","Western"
"63",6666,9,"Lottery","OtherCollege","Eastern"
"64",6098,10,"Lottery","OtherCollege","Eastern"
"65",22388,11,"Lottery","OtherCollege","Western"
"66",2937,12,"Lottery","OtherCollege","Western"
"67",16993,13,"Lottery","OtherCollege","Western"
"68",2964,14,"Lottery","OtherCollege","Western"
"69",594,15,"MidtoLateFirst","OtherCollege","Eastern"
"70",16422,16,"MidtoLateFirst","OtherCollege","Eastern"
"71",1902,17,"MidtoLateFirst","OtherCollege","Eastern"
"72",9409,18,"MidtoLateFirst","OtherCollege","Western"
"73",16843,19,"MidtoLateFirst","OtherCollege","Eastern"
"74",3347,20,"MidtoLateFirst","OtherCollege","Western"
"75",9805,21,"MidtoLateFirst","OtherCollege","Western"
"76",2019,22,"MidtoLateFirst","PowerSchool","Eastern"
"77",7372,23,"MidtoLateFirst","OtherCollege","Western"
"78",1950,24,"MidtoLateFirst","OtherCollege","Western"
"79",3200,25,"MidtoLateFirst","PowerSchool","Western"
"80",1045,26,"MidtoLateFirst","OtherCollege","Eastern"
"81",25776,27,"MidtoLateFirst","OtherCollege","Western"
"82",192,28,"MidtoLateFirst","OtherCollege","Western"
"83",22212,29,"MidtoLateFirst","NonCollegiate","Eastern"
"84",8042,30,"MidtoLateFirst","OtherCollege","Eastern"
"85",4513,31,"SecondRound","OtherCollege","Western"
"86",1182,32,"SecondRound","OtherCollege","Eastern"
"87",209,33,"SecondRound","OtherCollege","Western"
"88",1125,34,"SecondRound","PowerSchool","Western"
"89",7974,35,"SecondRound","OtherCollege","Eastern"
"90",1609,36,"SecondRound","PowerSchool","Eastern"
"91",3108,37,"SecondRound","OtherCollege","Eastern"
"92",8444,38,"SecondRound","OtherCollege","Western"
"93",918,39,"SecondRound","OtherCollege","Western"
"94",20319,40,"SecondRound","OtherCollege","Western"
"95",299,41,"SecondRound","OtherCollege","Eastern"
"96",4568,42,"SecondRound","OtherCollege","Western"
"97",12291,43,"SecondRound","OtherCollege","Western"
"98",2282,44,"SecondRound","OtherCollege","Eastern"
"99",26084,45,"SecondRound","OtherCollege","Eastern"
"100",2918,46,"SecondRound","OtherCollege","Eastern"
"101",8548,47,"SecondRound","OtherCollege","Eastern"
"102",14712,48,"SecondRound","OtherCollege","Western"
"104",87,50,"SecondRound","OtherCollege","Western"
"105",7295,51,"SecondRound","OtherCollege","Western"
"106",30,52,"SecondRound","NonCollegiate","Eastern"
"108",3334,54,"SecondRound","OtherCollege","Western"
"109",25685,1,"Top5","OtherCollege","Western"
"110",25868,2,"Top5","OtherCollege","Eastern"
"111",17619,3,"Top5","OtherCollege","Western"
"112",36791,4,"Top5","OtherCollege","Western"
"113",28855,5,"Top5","OtherCollege","Eastern"
"114",5833,6,"Lottery","OtherCollege","Western"
"115",12006,7,"Lottery","OtherCollege","Western"
"116",5018,8,"Lottery","OtherCollege","Western"
"117",21658,9,"Lottery","OtherCollege","Eastern"
"118",10004,10,"Lottery","OtherCollege","Eastern"
"119",21545,11,"Lottery","OtherCollege","Eastern"
"120",15850,12,"Lottery","OtherCollege","Eastern"
"121",29606,13,"Lottery","OtherCollege","Eastern"
"122",309,14,"Lottery","OtherCollege","Western"
"123",6729,15,"MidtoLateFirst","OtherCollege","Eastern"
"124",13760,16,"MidtoLateFirst","OtherCollege","Western"
"125",5755,17,"MidtoLateFirst","OtherCollege","Western"
"126",1031,18,"MidtoLateFirst","OtherCollege","Eastern"
"127",3131,19,"MidtoLateFirst","PowerSchool","Eastern"
"128",345,20,"MidtoLateFirst","OtherCollege","Western"
"129",11882,21,"MidtoLateFirst","OtherCollege","Western"
"130",857,22,"MidtoLateFirst","OtherCollege","Western"
"131",5869,23,"MidtoLateFirst","OtherCollege","Eastern"
"132",23723,24,"MidtoLateFirst","OtherCollege","Eastern"
"134",883,26,"MidtoLateFirst","PowerSchool","Eastern"
"135",8394,27,"MidtoLateFirst","OtherCollege","Western"
"136",1143,28,"MidtoLateFirst","OtherCollege","Western"
"138",313,30,"MidtoLateFirst","OtherCollege","Eastern"
"139",11533,31,"SecondRound","OtherCollege","Western"
"140",3,32,"SecondRound","OtherCollege","Western"
"141",3501,33,"SecondRound","OtherCollege","Western"
"142",23,34,"SecondRound","OtherCollege","Western"
"143",3049,35,"SecondRound","OtherCollege","Western"
"144",1313,36,"SecondRound","OtherCollege","Eastern"
"145",9501,37,"SecondRound","OtherCollege","Western"
"147",856,39,"SecondRound","OtherCollege","Eastern"
"148",7275,40,"SecondRound","OtherCollege","Eastern"
"149",671,41,"SecondRound","OtherCollege","Eastern"
"151",155,43,"SecondRound","OtherCollege","Western"
"153",13426,45,"SecondRound","OtherCollege","Eastern"
"154",2226,46,"SecondRound","OtherCollege","Western"
"156",8350,48,"SecondRound","OtherCollege","Western"
"157",1946,49,"SecondRound","OtherCollege","Western"
"159",3607,51,"SecondRound","NonCollegiate","Western"
"163",41918,1,"Top5","OtherCollege","Eastern"
"164",25975,2,"Top5","OtherCollege","Western"
"165",25760,3,"Top5","PowerSchool","Western"
"166",29067,4,"Top5","OtherCollege","Western"
"167",17616,5,"Top5","OtherCollege","Western"
"168",23556,6,"Lottery","OtherCollege","Eastern"
"169",18818,7,"Lottery","OtherCollege","Western"
"170",12214,8,"Lottery","OtherCollege","Eastern"
"171",27736,9,"Lottery","OtherCollege","Eastern"
"172",10334,10,"Lottery","OtherCollege","Eastern"
"173",27069,11,"Lottery","OtherCollege","Western"
"174",3748,12,"Lottery","OtherCollege","Eastern"
"175",16417,13,"Lottery","OtherCollege","Western"
"176",11720,14,"Lottery","OtherCollege","Eastern"
"177",20464,15,"MidtoLateFirst","OtherCollege","Western"
"178",1093,16,"MidtoLateFirst","OtherCollege","Western"
"179",26079,17,"MidtoLateFirst","OtherCollege","Western"
"180",12103,18,"MidtoLateFirst","PowerSchool","Western"
"181",6679,19,"MidtoLateFirst","PowerSchool","Eastern"
"182",15143,20,"MidtoLateFirst","OtherCollege","Eastern"
"183",13880,21,"MidtoLateFirst","OtherCollege","Eastern"
"184",11338,22,"MidtoLateFirst","OtherCollege","Western"
"185",10337,23,"MidtoLateFirst","OtherCollege","Eastern"
"186",35270,24,"MidtoLateFirst","OtherCollege","Western"
"187",2641,25,"MidtoLateFirst","OtherCollege","Western"
"188",475,26,"MidtoLateFirst","OtherCollege","Western"
"189",2674,27,"MidtoLateFirst","OtherCollege","Eastern"
"190",1146,28,"MidtoLateFirst","OtherCollege","Western"
"191",33823,29,"MidtoLateFirst","OtherCollege","Eastern"
"192",13560,30,"MidtoLateFirst","OtherCollege","Western"
