"","mpg","overall_pick","pick_bucket","educational_prestige","team_conference"
"1",24.5,1,"Top5","PowerSchool","Western"
"2",19.8,2,"Top5","PowerSchool","Western"
"3",33,3,"Top5","OtherCollege","Western"
"4",35,4,"Top5","OtherCollege","Eastern"
"5",22.9,5,"Top5","OtherCollege","Western"
"6",16.9,6,"Lottery","OtherCollege","Eastern"
"7",22.8,7,"Lottery","OtherCollege","Eastern"
"8",19.2,8,"Lottery","OtherCollege","Western"
"9",15.2,9,"Lottery","OtherCollege","Eastern"
"10",30.4,10,"Lottery","PowerSchool","Western"
"11",31.2,11,"Lottery","OtherCollege","Eastern"
"12",34.9,12,"Lottery","OtherCollege","Eastern"
"13",9.4,13,"Lottery","OtherCollege","Eastern"
"14",35.3,14,"Lottery","OtherCollege","Western"
"15",17.9,15,"MidtoLateFirst","OtherCollege","Western"
"16",22.9,16,"MidtoLateFirst","OtherCollege","Western"
"17",27.9,17,"MidtoLateFirst","OtherCollege","Western"
"18",23.8,18,"MidtoLateFirst","OtherCollege","Eastern"
"19",8.1,19,"MidtoLateFirst","PowerSchool","Eastern"
"20",8.4,20,"MidtoLateFirst","OtherCollege","Eastern"
"21",26.1,21,"MidtoLateFirst","OtherCollege","Western"
"22",9.8,22,"MidtoLateFirst","OtherCollege","Western"
"23",6.7,23,"MidtoLateFirst","OtherCollege","Eastern"
"24",12.9,24,"MidtoLateFirst","OtherCollege","Western"
"25",14.7,25,"MidtoLateFirst","OtherCollege","Eastern"
"26",29.8,26,"MidtoLateFirst","NonCollegiate","Western"
"27",13.4,27,"MidtoLateFirst","OtherCollege","Eastern"
"28",27.6,28,"MidtoLateFirst","OtherCollege","Eastern"
"29",5.5,29,"MidtoLateFirst","OtherCollege","Western"
"30",6.7,30,"MidtoLateFirst","OtherCollege","Eastern"
"31",18.8,31,"SecondRound","OtherCollege","Western"
"32",8,32,"SecondRound","OtherCollege","Eastern"
"33",6.5,33,"SecondRound","PowerSchool","Western"
"34",4.8,34,"SecondRound","OtherCollege","Western"
"35",14.5,35,"SecondRound","OtherCollege","Western"
"36",30.8,36,"SecondRound","PowerSchool","Western"
"37",14.4,37,"SecondRound","OtherCollege","Eastern"
"38",24.6,38,"SecondRound","PowerSchool","Western"
"39",8.3,39,"SecondRound","OtherCollege","Eastern"
"40",32.6,40,"SecondRound","NonCollegiate","Eastern"
"41",9.8,41,"SecondRound","OtherCollege","Eastern"
"43",17.2,43,"SecondRound","OtherCollege","Eastern"
